Wavelength,ATTO465 EM,ATTO465 EX,ATTO488 EM,ATTO488 EX,ATTO520 EM,ATTO520 EX,ATTO532 EM,ATTO532 EX,ATTO550 EM,ATTO550 EX,ATTO565 EM,ATTO565 EX,ATTO590 EM,FAM EM,FAM EX,ATTO590 EX,ATTO594 EM,ATTO594 EX,ATTO620 EM,ATTO620 EX,ATTO647N EM,ATTO647N EX,ATTO655 EM,ATTO655 EX,ATTO680 EM,ATTO680 EX,Cy3 EM,Cy3 EX,Cy5 EM,Cy5 EX,Cy5_5 EM,Cy5_5 EX,HEX EM,HEX EX,JOE EM,JOE EX,ROX EM,ROX EX,TAMRA EM,TAMRA EX,TexasRed EM,TexasRed EX,Rhodamine6G EM,Rhodamine6G EX
356,,0.031627706,,0.038445887,,0.024822511,,0.040121211,,0.055714286,,0.064878787,,,0.0155549,0.084463203,,0.061688312,,0.020233766,,0.016506495,,0.012229437,,0.049121211,,,,,,,,0.016175199,,0.0726,,0.07,,,,,,
357,,0.033060606,,0.03674026,,0.023285714,,0.038493506,,0.057177489,,0.066926406,,,0.0154148,0.084536797,,0.062904763,,0.02134632,,0.017000001,,0.012372294,,0.048861471,,,,,,,,0.0144865,,0.0686,,0.0713,,,,,,
358,,0.034359308,,0.03504762,,0.022406927,,0.036627705,,0.05812554,,0.069359307,,,0.0152747,0.084740261,,0.063779222,,0.022264069,,0.017402598,,0.012627706,,0.048718614,,,,,,,,0.0130337,,0.0626,,0.0733,,,,,,
359,,0.035939394,,0.03348052,,0.022017316,,0.034740259,,0.058207791,,0.072246754,,,0.0151345,0.08504762,,0.064354979,,0.023121212,,0.017627705,,0.012861472,,0.048402597,,,,,,,,0.0121837,,0.0589,,0.0755,,,,,,
360,,0.037645021,,0.031926407,,0.021679654,,0.03295671,,0.057666665,,0.075372295,,,0.0152747,0.08548052,,0.064718615,,0.023718615,,0.017831168,,0.013030303,,0.048090908,,,,,,,,0.011151,,0.0547,,0.0776,,,,,,
361,,0.039653679,,0.030939394,,0.021398268,,0.031450216,,0.056341991,,0.078610391,,,0.0151345,0.085926408,,0.065090908,,0.024233766,,0.018077921,,0.013090909,,0.047627705,,,,,,,,0.0102857,,0.0487,,0.0802,,,,,,
362,,0.041675324,,0.029987012,,0.021,,0.030155843,,0.054428571,,0.081593076,,,0.0151345,0.086848485,,0.065402596,,0.024796537,,0.018432899,,0.013,,0.047142856,,,,,,,,0.00992282,,0.0443,,0.0835,,,,,,
363,,0.043709957,,0.029203463,,0.020601732,,0.029251081,,0.052099567,,0.084086582,,,0.0155549,0.088047619,,0.065627704,,0.025294373,,0.018766233,,0.012909091,,0.046766233,,,,,,,,0.00953205,,0.0403,,0.0861,,,,,,
364,,0.046138528,,0.02830303,,0.020138528,,0.028536796,,0.049506493,,0.085943723,,,0.0159753,0.089372294,,0.065740259,,0.025796537,,0.019233766,,0.012969697,,0.046341991,,,,,,,,0.00902963,,0.0353,,0.0891,,,,,,
365,,0.048541126,,0.027575758,,0.019831169,,0.027861472,,0.046597402,,0.087147186,,,0.0162556,0.090718615,,0.066138528,,0.026233767,,0.019567099,,0.013047619,,0.046047619,,,,,,,,0.00887611,,0.0322,,0.0928,,,,,,
366,,0.05074026,,0.026844157,,0.019567099,,0.027030304,,0.04369264,,0.087943722,,,0.016535901,0.092073593,,0.066419915,,0.026627707,,0.019831169,,0.013341991,,0.046060606,,,,,,,,0.00870864,,0.0292,,0.095,,,,,,
367,,0.053134199,,0.02626407,,0.019142857,,0.02609091,,0.040675325,,0.088177489,,,0.016395699,0.093043289,,0.066848487,,0.02709091,,0.020138528,,0.013766234,,0.045939394,,,,,,,,0.00895985,,0.0255,,0.0975,,,,,,
368,,0.055653679,,0.025614719,,0.01873593,,0.024909091,,0.037852814,,0.087714285,,,0.016675999,0.093744588,,0.067645024,,0.027402598,,0.020601732,,0.014233766,,0.045952381,,,,,,,,0.00895985,,0.0234,,0.0993,,,,,,
