Wavelength,ATTO425 EM,ATTO425 EX,ATTO465 EM,ATTO465 EX,FAM EM,FAM EX,ATTO488 EM,ATTO488 EX,JOE EM,JOE EX,HEX EM,HEX EX,Cy3 EM,Cy3 EX,ROX EM,ROX EX,Cy3.5 EM,Cy3.5 EX,CAL560 EM,CAL560 EX,CAL590 EM,CAL590 EX,CAL610 EM,CAL610 EX,Cy5 EM,Cy5 EX,Cy5.5 EM,Cy5.5 EX
408,0.178025974,0.556909092,0.033818183,0.94448486,,0.021861,,0.207896102,,0.0174,,0.0216181,,0.002,,0.0427,,,,0.030156501,,0.029999999,,0.0171827,,,,
409,0.204961038,0.51838961,0.040787879,0.918372316,,0.022281401,,0.220160171,,0.0178,,0.021883201,,0.0024,,0.0435,,,,0.029846501,,0.029999999,,0.0174396,,,,
410,0.234748913,0.479943721,0.048987013,0.887653695,,0.022841901,,0.232675324,,0.0181,,0.0220368,,0.0024,,0.0438,,,,0.029599,,0.029999999,,0.017604001,,,,
411,0.267064928,0.441844151,0.058437229,0.852129877,,0.0236827,,0.245294372,,0.0181,,0.0221205,,0.003,,0.0443,,,,0.0293267,,0.029999999,,0.018012701,,,,
412,0.301740253,0.404536799,0.069268397,0.812792205,,0.024243301,,0.257917746,,0.0185,,0.0223577,,0.0024,,0.0446,,,,0.028942499,,0.029999999,,0.018438499,,,,
413,0.338519476,0.368268399,0.081432901,0.76971428,,0.025364401,,0.270398267,,0.0188,,0.022427499,,0.0027,,0.0454,,,,0.028598299,,0.029999999,,0.0188176,,,,
414,0.377103889,0.333333334,0.094948051,0.724160165,,0.0264854,,0.282389611,,0.019,,0.022595,,0.0027,,0.0456,,,,0.028342601,,0.029999999,,0.019259401,,,,
415,0.417194797,0.300090908,0.109943721,0.676857134,,0.0274664,,0.294099568,,0.0193,,0.0227904,,0.0031,,0.0463,,,,0.0280903,,0.02,,0.0198188,,,,
416,0.459095226,0.268969695,0.126285712,0.628445881,,0.0290078,,0.305004331,,0.0197,,0.0227206,,0.0031,,0.0463,,,,0.027806301,,0.02,,0.0201727,,,,
417,0.502601721,0.240047615,0.144285711,0.579943725,,0.0304092,,0.315129867,,0.02,,0.0227904,,0.0031,,0.0468,,,,0.027518701,,0.02,,0.020496899,,,,
418,0.547497823,0.213341986,0.16403463,0.532060611,,0.031950701,,0.324341991,,0.0204,,0.0227485,,0.0033,,0.0471,,,,0.0272299,,0.02,,0.0209364,,,,
419,0.592822497,0.188675319,0.184978354,0.485134204,,0.0340527,,0.333056273,,0.0209,,0.0228462,,0.0035,,0.0473,,,,0.026985999,,0.02,,0.0213075,,,,
420,0.63757142,0.166203461,0.207385285,0.440151522,,0.0357343,,0.34124242,,0.0211,,0.022692701,,0.0037,,0.0472,,,,0.026812701,,0.02,,0.0217299,,,,
421,0.681203464,0.145887444,0.23101732,0.397064946,,0.037556101,,0.349,,0.0211,,0.022860199,,0.0037,,0.0472,,,,0.026597001,,0.02,,0.0220838,,,,
422,0.723000002,0.127354977,0.255792211,0.356519485,,0.040498901,,0.356757576,,0.0215,,0.023027699,,0.004,,0.0477,,,,0.0264792,,0.02,,0.0223669,,,,
423,0.762614715,0.110701299,0.281826843,0.318497838,,0.042741001,,0.364852814,,0.0218,,0.0230974,,0.0044,,0.0475,,,,0.0263707,,0.02,,0.0226181,,,,
